OPEID;INSTNM;CITY;STABBR;ZIP;INSTURL;REGION;LOCALE;ADM_RATE;COSTT4_A
212800;Boston College;Chestnut Hill;MA;02467;www.bc.edu;1;13.0;0.3241;68039.0
213000;Boston University;Boston;MA;02215;www.bu.edu;1;11.0;0.2511;67879.0
213300;Brandeis University;Waltham;MA;02454-9110;www.brandeis.edu/;1;13.0;0.3422;68036.0
218300;Bridgewater State University;Bridgewater;MA;02325;www.bridgew.edu;1;21.0;0.8036;23109.0
217600;Bristol Community College;Fall River;MA;02720-7395;www.bristolcc.edu;1;21.0;;10405.0
632200;Signature Healthcare Brockton Hospital School of Nursing;Brockton;MA;02302-1905;www.bhson.org;1;21.0;0.75;
1121000;Bunker Hill Community College;Boston;MA;02129-2925;www.bhcc.mass.edu;1;11.0;;12105.0
2182900;Cambridge College;Boston;MA;02129;www.cambridgecollege.edu;1;11.0;;26636.0
216800;Cape Cod Community College;West Barnstable;MA;02668-1599;www.capecod.edu;1;13.0;;12838.0
2220400;Catherine Hinds Institute of Esthetics;Woburn;MA;01801-6819;www.catherinehinds.edu;1;21.0;;
632400;Laboure College;Milton;MA;02186;www.laboure.edu/about-labour-;1;21.0;0.7843;38498.0
213900;Clark University;Worcester;MA;01610-1477;www.clarku.edu;1;12.0;0.5627;53086.0
2274300;Conway School of Landscape Design;Northampton;MA;01060;www.csld.edu;1;21.0;;
214300;Curry College;Milton;MA;02186-2395;https://www.curry.edu;1;21.0;0.9005;53433.0
1246115;Lincoln Technical Institute-Somerville;Somerville;MA;02145;www.lincolntech.edu/campus/somerville-ma;1;21.0;;
214400;Dean College;Franklin;MA;02038-1941;www.dean.edu;1;21.0;0.8607;53544.0
551900;Diman Regional Technical Institute;Fall River;MA;02723;www.dimanregional.org;1;21.0;1.0;
613600;National Aviation Academy of New England;Concord;MA;01742;www.naa.edu;1;21.0;;
214500;Eastern Nazarene College;Quincy;MA;02170-2999;www.enc.edu;1;21.0;0.6776;43345.0
214600;Emerson College;Boston;MA;02116-4624;www.emerson.edu;1;11.0;0.4606;62389.0
214700;Emmanuel College;Boston;MA;02115;www.emmanuel.edu;1;11.0;0.7299;54325.0
214800;Endicott College;Beverly;MA;01915;www.endicott.edu;1;21.0;0.8140000000000001;48715.0
1294800;Rob Roy Academy-Fall River;Fall River;MA;02720-3445;www.rob-roy.com;1;21.0;;
215000;Fisher College;Boston;MA;02116;www.fisher.edu;1;11.0;0.6583;43616.0
218400;Fitchburg State University;Fitchburg;MA;01420-2697;www.fitchburgstate.edu;1;22.0;0.8004;21186.0
218500;Framingham State University;Framingham;MA;01701-9101;www.framingham.edu/;1;13.0;0.6811;23838.0
215100;Benjamin Franklin Institute of Technology;Boston;MA;02116;www.bfit.edu/;1;11.0;;24802.0
215300;Gordon College;Wenham;MA;01984;www.gordon.edu;1;21.0;0.8889;48531.0
974700;Gordon-Conwell Theological Seminary;South Hamilton;MA;01982;www.gordonconwell.edu;1;21.0;;
216900;Greenfield Community College;Greenfield;MA;01301-9739;www.gcc.mass.edu;1;32.0;;15122.0
466100;Hampshire College;Amherst;MA;01002-5001;www.hampshire.edu;1;21.0;0.6282;65153.0
215500;Harvard University;Cambridge;MA;02138;www.harvard.edu;1;12.0;0.0516;66900.0
215700;Hebrew College;Newton Centre;MA;02459-2237;www.hebrewcollege.edu;1;13.0;;
215400;Hellenic College-Holy Cross Greek Orthodox School of Theology;Brookline;MA;02445-7415;www.hchc.edu;1;21.0;1.0;41282.0
214100;College of the Holy Cross;Worcester;MA;01610-2395;www.holycross.edu;1;12.0;0.396;63968.0
217000;Holyoke Community College;Holyoke;MA;01040;www.hcc.edu;1;21.0;;12375.0
215800;Lasell College;Newton;MA;02466;www.lasell.edu/;1;13.0;0.8072;50223.0
633100;Lawrence Memorial Hospital School of Nursing;Medford;MA;02155;www.lmregis.org;1;21.0;;
216000;Lesley University;Cambridge;MA;02138-2790;www.lesley.edu;1;12.0;0.7261;43407.0
267104;Longy School of Music of Bard College;Cambridge;MA;02138;longy.edu;1;12.0;0.9333;53190.0
989900;Lowell Academy Hairstyling Institute;Lowell;MA;01852-1909;www.lowellacademy.com;1;21.0;;
216100;University of Massachusetts-Lowell;Lowell;MA;01854-5104;www.uml.edu;1;21.0;0.6883;27313.0
1206800;Mansfield Beauty Schools-Springfield;Springfield;MA;01103;mansfieldbeautyschools.edu;1;12.0;;
1204200;Mansfield Beauty Schools-Quincy;Quincy;MA;02169;www.mansfieldbeautyschools.edu;1;21.0;;
222100;University of Massachusetts-Amherst;Amherst;MA;01003;www.umass.edu;1;21.0;0.5758;29172.0
222200;University of Massachusetts-Boston;Boston;MA;02125-3393;www.umb.edu;1;11.0;0.7515;21777.0
217100;Massachusetts Bay Community College;Wellesley Hills;MA;02481-5399;www.massbay.edu;1;21.0;;16165.0
216500;MCPHS University;Boston;MA;02115-5896;www.mcphs.edu;1;11.0;0.8386;49645.0
218000;Massachusetts College of Art and Design;Boston;MA;02115-5882;www.massart.edu;1;11.0;0.7066;27560.0
217800;Massachusetts Institute of Technology;Cambridge;MA;02139-4307;web.mit.edu/;1;12.0;0.0717;65478.0
218100;Massachusetts Maritime Academy;Buzzards Bay;MA;02532-1803;www.maritime.edu;1;22.0;0.8317;23932.0
975600;University of Massachusetts Medical School Worcester;Worcester;MA;01655;www.umassmed.edu;1;12.0;;
2163600;William James College;Newton;MA;02459;www.williamjames.edu;1;13.0;;
2092100;Massachusetts School of Barbering;Quincy;MA;02169;massschoolofbarbering.com;1;21.0;;
217700;Massasoit Community College;Brockton;MA;02302-3996;www.massasoit.edu;1;21.0;;14169.0
212000;Merrimack College;North Andover;MA;01845;https://www.merrimack.edu;1;21.0;0.8154;53429.0
2231600;MGH Institute of Health Professions;Boston;MA;02129-4557;www.mghihp.edu;1;11.0;;
993600;Middlesex Community College;Bedford;MA;01730-9124;www.middlesex.mass.edu;1;21.0;;9021.0
2063000;Montserrat College of Art;Beverly;MA;01915-4508;https://www.montserrat.edu/;1;21.0;;45291.0
219200;Mount Holyoke College;South Hadley;MA;01075-1489;https://www.mtholyoke.edu;1;21.0;0.5084;61118.0
219300;Mount Ida College;Newton;MA;02459;www.mountida.edu;1;13.0;0.7488;48671.0
217200;Mount Wachusett Community College;Gardner;MA;01440-1000;MWCC.EDU;1;41.0;;12762.0
2339400;Rob Roy Academy-New Bedford;New Bedford;MA;02720-3445;www.rob-roy.com;1;22.0;;
219400;The New England Conservatory of Music;Boston;MA;02115-5018;necmusic.edu;1;11.0;0.3281;62089.0
216400;New England College of Optometry;Boston;MA;02115;www.neco.edu;1;11.0;;
891600;New England Law-Boston;Boston;MA;02116;www.nesl.edu;1;11.0;;
2163500;New England School of Photography;Waltham;MA;02453;https://www.NESOP.edu;1;13.0;0.7377;38653.0
748400;Newbury College;Brookline;MA;02445;www.newbury.edu;1;21.0;0.7541;48357.0
219700;Nichols College;Dudley;MA;01571-5000;www.nichols.edu;1;21.0;0.925;49714.0
218700;Massachusetts College of Liberal Arts;North Adams;MA;01247-4100;www.mcla.edu;1;31.0;0.7663;23106.0
2197900;North Bennet Street School;Boston;MA;02109;www.nbss.edu;1;11.0;;
217300;North Shore Community College;Danvers;MA;01923-0840;www.northshore.edu;1;21.0;;12367.0
219900;Northeastern University;Boston;MA;02115-5005;www.northeastern.edu;1;11.0;0.2744;65469.0
217400;Northern Essex Community College;Haverhill;MA;01830-2399;www.necc.mass.edu/;1;21.0;;13606.0
214000;College of Our Lady of the Elms;Chicopee;MA;01013;https://www.elms.edu;1;21.0;0.7949;44722.0
220100;Pine Manor College;Chestnut Hill;MA;02467;www.pmc.edu;1;21.0;0.5119;43513.0
220200;Pope St John XXIII National Seminary;Weston;MA;02493-2699;www.psjs.edu;1;21.0;;
220500;Quincy College;Quincy;MA;02169;https://www.quincycollege.edu;1;21.0;;18559.0
217500;Quinsigamond Community College;Worcester;MA;01606-2092;www.qcc.edu;1;12.0;;12353.0
220600;Regis College;Weston;MA;02493-1571;www.regiscollege.edu;1;21.0;0.8163;55413.0
1193000;Roxbury Community College;Roxbury Crossing;MA;02120-3400;www.rcc.mass.edu;1;11.0;;14091.0
221400;Saint John's Seminary;Brighton;MA;02135-3846;www.sjs.edu;1;11.0;;
218800;Salem State University;Salem;MA;01970;www.salemstate.edu;1;21.0;0.8191;23828.0
466600;Salter College-West Boylston;West Boylston;MA;01583;www.salter.edu;1;21.0;;
220800;Simmons University;Boston;MA;02115-5898;www.simmons.edu;1;11.0;0.6044;56238.0
964500;Bard College at Simon's Rock;Great Barrington;MA;01230-9702;www.simons-rock.edu/;1;32.0;0.6609;68409.0
220900;Smith College;Northampton;MA;01063;www.smith.edu;1;21.0;0.3187;66647.0
1238600;Southeastern Technical Institute;South Easton;MA;02375;www.stitech.edu;1;41.0;0.3882;
221100;Springfield College;Springfield;MA;01109-3797;www.springfield.edu/;1;12.0;0.6989;49986.0
